t2m,ssrd,e,sp,tp,year
287.30554,18726310.0,0.003277341,97946.15,0.0036340365,1989
288.17456,18332862.0,0.003112888,97690.59,0.00177316,1989
291.08398,17363026.0,0.0032859603,97934.625,0.004291278,1989
290.25458,17114372.0,0.0028903903,97565.57,0.0011212266,1989
287.35703,10129576.0,0.0017484492,97899.08,0.0021529973,1989
284.03214,6785298.0,0.0011108425,97933.47,0.00298438,1989
276.6446,4076360.0,0.00036452524,97649.84,0.0018519949,1989
276.412,1629024.0,0.00038299803,97351.43,0.0023982748,1989
275.8002,3308104.0,0.0002640793,98082.234,0.00088851026,1990
279.21716,5212596.0,0.0006690929,97350.305,0.0022100694,1990
280.03418,10607305.0,0.0016310113,98640.83,0.0026003665,1990
280.31897,11132666.0,0.0018951232,97402.39,0.0053368197,1990
287.04028,23403632.0,0.0038655838,97918.64,0.0015914105,1990
287.8223,20377068.0,0.0036197267,97445.64,0.0029865499,1990
290.42654,20386960.0,0.0035614176,97937.63,0.0021345904,1990
292.15906,16026770.0,0.0027216934,97920.25,0.0021180043,1990
285.41885,11104441.0,0.0017989036,97759.66,0.0022406054,1990
284.21362,7095763.0,0.0011032745,97272.77,0.0017424554,1990
278.11768,4628416.0,0.0005121026,97327.97,0.0018911965,1990
274.4817,2820488.0,0.00054365676,97646.375,0.004040799,1990
274.92163,2472244.0,0.00045337714,98224.3,0.0022844754,1991
271.82996,6233046.0,0.0011199294,97601.35,0.0047499575,1991
280.59393,11508505.0,0.0014780834,97326.234,0.00085751835,1991
280.32794,15479800.0,0.0022676317,97547.59,0.0023916624,1991
283.04492,22645530.0,0.0036186986,97941.5,0.0011387641,1991
285.9898,16391596.0,0.0028859032,97420.36,0.003495797,1991
292.06683,22060966.0,0.0036707353,97656.72,0.0011063968,1991
291.997,17192110.0,0.0025261808,97959.836,0.0026011702,1991
289.03763,11071316.0,0.0017358409,97644.805,0.0018094652,1991
282.13452,7792631.0,0.0011917809,97641.516,0.0032722722,1991
277.25555,3428964.0,0.0006238632,97348.17,0.0027540294,1991
274.28192,2325180.0,0.00030912925,98717.766,0.003355603,1991
274.44495,3534000.0,0.00056770165,98830.4,0.0029137358,1992
276.1214,7322542.0,0.00019763038,98389.41,0.001188734,1992
278.4201,9492012.0,0.0012640497,97512.01,0.0017179452,1992
280.91058,17523136.0,0.0024066414,97281.83,0.0016829704,1992
287.22125,19301296.0,0.0028271005,97818.12,0.00066197495,1992
289.18268,15989920.0,0.002617767,97430.7,0.002447171,1992
291.14908,20505174.0,0.0034206547,97713.25,0.0016553206,1992
291.73285,19893066.0,0.002670465,97472.61,0.0007093149,1992
286.59204,12436835.0,0.0014259908,97858.516,0.002148553,1992
280.32602,6565164.0,0.0009461064,96904.91,0.0015248389,1992
279.49646,3695488.0,0.0007118955,97574.63,0.0028297303,1992
276.02313,2685948.0,0.00021650549,97780.36,0.0018859734,1992
276.98825,3637260.0,0.00022816006,98311.34,0.0007032742,1993
273.19763,6022244.0,0.00051312614,98675.125,0.0015286737,1993
277.72375,8728215.0,0.0013342099,98076.0,0.0029628095,1993
283.24023,15536574.0,0.0023176558,97106.03,0.0015530094,1993
287.16138,20570118.0,0.0034656292,97358.89,0.0017617526,1993
289.4203,18950328.0,0.0033795228,97629.44,0.0033552612,1993
289.48077,18539802.0,0.0032994365,97696.67,0.0023521155,1993
289.46106,15844128.0,0.0029407665,97901.625,0.0031867689,1993
285.68542,11864401.0,0.0019098036,97204.28,0.0012838662,1993
281.45316,6416810.0,0.0010471744,97361.45,0.0027830463,1993
274.60907,3235696.0,0.0006559966,97896.68,0.0037341272,1993
276.88312,2746824.0,0.0004090732,96913.55,0.0019395337,1993
276.21472,2813160.0,0.00048582722,97366.2,0.0027178356,1994
274.91486,7109798.0,0.0004397547,97335.92,0.0007056364,1994
279.87662,12696668.0,0.0013386179,97794.56,0.00034023245,1994
280.51233,15844306.0,0.0025449786,97152.55,0.0017019731,1994
285.25848,18177088.0,0.0031885859,97328.33,0.0028301126,1994
288.90704,19215548.0,0.0033069728,97893.25,0.0010554966,1994
294.38235,17698506.0,0.002768416,97731.16,0.0024640036,1994
290.53094,18609790.0,0.0024374751,97549.0,0.00036373263,1994
286.11075,9539676.0,0.0015470628,97394.586,0.004994847,1994
282.00464,6312561.0,0.0012177927,97568.44,0.003659705,1994
281.9049,4498476.0,0.00041312445,97937.66,0.0009989309,1994
277.47345,1649708.0,0.0005875593,97930.81,0.0071792253,1994
275.1362,2637972.0,0.0005750917,97507.75,0.0038999177,1995
278.22516,5836888.0,0.00038823113,97344.23,0.0018129032,1995
276.65906,8344209.0,0.0013350905,97364.48,0.0021724417,1995
281.5246,14165518.0,0.00216272,97616.766,0.0029899639,1995
285.2879,16916358.0,0.0028166221,97588.92,0.0025292311,1995
287.08377,21872886.0,0.0038005495,97703.83,0.0023988672,1995
293.33124,21634860.0,0.0038147252,97607.08,0.0017750605,1995
